chain_id,nparticles,dim,dt,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,tuning_cycles,optimize_cycles,warmup_cycles
1,10,3,0.8857805,0.01,0.4939509550883295,15.079684426377415,0.003129602324992745,0.005199766896140545,1.5079684426377415,0.003129602324992745,0.005199766896140545,0.46795654296875,65536,94036,3500,25000,0
2,10,3,0.73205,0.01,0.498571529819323,15.01716513380306,0.0003454761849117452,0.00023024241994562544,1.5017165133803059,0.0003454761849117452,0.00023024241994562544,0.6273345947265625,65536,110036,2500,42000,0
3,10,3,0.605,0.01,0.49926509144366865,15.00679743881349,0.0001747729485832981,6.5333761057218e-05,1.5006797438813488,0.0001747729485832981,6.5333761057218e-05,0.71331787109375,65536,111536,2000,44000,0
4,10,3,0.605,0.01,0.5021916014711618,14.97861703488779,0.0005038237149168958,0.000627952759003847,1.4978617034887791,0.0005038237149168958,0.000627952759003847,0.7326202392578125,65536,103036,2000,35500,0
5,10,3,0.73205,0.01,0.5004773168970224,14.99451477068199,0.00012169405618325202,2.569847225686317e-05,1.499451477068199,0.00012169405618325202,2.569847225686317e-05,0.61053466796875,65536,118036,2500,50000,0
6,10,3,0.8857805,0.01,0.5003928358316194,14.99486681077321,0.00018839957827817484,1.948685888919499e-05,1.499486681077321,0.00018839957827817484,1.948685888919499e-05,0.455718994140625,65536,119536,4000,50000,0
7,10,3,0.73205,0.01,0.5002152917320596,14.997601372646189,5.4122619792824696e-05,5.400187205850671e-06,1.499760137264619,5.4122619792824696e-05,5.400187205850671e-06,0.6029205322265625,65536,119036,3500,50000,0
8,10,3,0.8857805,0.01,0.5035320632986102,14.954342103277549,0.0014355154949486533,0.001600534045508084,1.495434210327755,0.0014355154949486533,0.001600534045508084,0.432861328125,65536,100536,3500,31500,0
9,10,3,0.8857805,0.01,0.4984117927350939,15.021695632142173,0.0005541420170129019,0.00030271440351725687,1.5021695632142174,0.0005541420170129019,0.00030271440351725687,0.46209716796875,65536,108536,4000,39000,0
10,10,3,0.73205,0.01,0.5003175703915529,14.996353174277438,8.257487261959308e-05,1.2213714200015602e-05,1.4996353174277437,8.257487261959308e-05,1.2213714200015602e-05,0.614776611328125,65536,117036,3500,48000,0
11,10,3,0.8857805,0.01,0.5003571779916619,14.995096465368821,0.00012768009912965048,1.4940339042368578e-05,1.499509646536882,0.00012768009912965048,1.4940339042368578e-05,0.4520416259765625,65536,120036,4500,50000,0
12,10,3,0.8857805,0.01,0.49322234382476443,15.09280507294055,0.0021748261457684684,0.005682036233139343,1.509280507294055,0.0021748261457684684,0.005682036233139343,0.4740142822265625,65536,92036,3500,23000,0
13,10,3,0.73205,0.01,0.4999647710163382,15.000412815940276,9.4555782174929e-06,1.430167628768686e-07,1.5000412815940276,9.4555782174929e-06,1.430167628768686e-07,0.6260986328125,65536,118536,3000,50000,0
14,10,3,0.73205,0.01,0.5004180868447045,14.995235935022334,0.00011209924915326932,2.0026373903192507e-05,1.4995235935022335,0.00011209924915326932,2.0026373903192507e-05,0.6037139892578125,65536,118536,3000,50000,0
15,10,3,0.73205,0.01,0.5005613771810473,14.993206228444663,0.00015480608515984874,4.015045968230879e-05,1.4993206228444662,0.00015480608515984874,4.015045968230879e-05,0.611053466796875,65536,117036,3000,48500,0
16,10,3,0.8857805,0.01,0.5033085127769138,14.955478033399867,0.0011263073548858516,0.0012934254712604343,1.4955478033399867,0.0011263073548858516,0.0012934254712604343,0.4469757080078125,65536,104036,4000,34500,0
1,50,3,0.49248663379038043,0.01,0.5016405026315152,74.94709540429011,0.0017789678875372863,0.001708289622911252,1.4989419080858022,0.0017789678875372863,0.001708289622911252,0.55267333984375,65536,118036,8500,44000,0
2,50,3,0.49248663379038043,0.01,0.5029371512957181,74.91226076154192,0.004464248231320394,0.006697092912872904,1.4982452152308383,0.004464248231320394,0.006697092912872904,0.52166748046875,65536,109536,8500,35500,0
3,50,3,0.49248663379038043,0.01,0.49855695253845395,75.04778563520091,0.0017207122534576061,0.0014256004833441693,1.5009557127040183,0.0017207122534576061,0.0014256004833441693,0.548858642578125,65536,123536,8000,50000,0
4,50,3,0.49248663379038043,0.01,0.4943757860013767,75.19114359797972,0.005844853595524233,0.019919255149943638,1.5038228719595943,0.005844853595524233,0.019919255149943638,0.5499114990234375,65536,101036,9000,26500,0
5,50,3,0.49248663379038043,0.01,0.5007354905337056,74.97762867483297,0.0007561059564296889,0.0003302913301013177,1.4995525734966595,0.0007561059564296889,0.0003302913301013177,0.5355987548828125,65536,125536,10000,50000,0
6,50,3,0.5363179441977243,0.01,0.492596779970813,75.26178998080593,0.008365368125848227,0.03522797262212407,1.5052357996161185,0.008365368125848227,0.03522797262212407,0.500396728515625,65536,101036,9000,26500,0
7,50,3,0.5959088268863603,0.01,0.49748489637397786,75.08853058863153,0.005609762238726517,0.005133977557306935,1.5017706117726306,0.005609762238726517,0.005133977557306935,0.362335205078125,65536,106036,10000,30500,0
8,50,3,0.49248663379038043,0.01,0.4999872667632612,75.00044092784432,1.3345119443575461e-05,1.0579333320492879e-07,1.5000088185568865,1.3345119443575461e-05,1.0579333320492879e-07,0.549530029296875,65536,124036,8500,50000,0
9,50,3,0.5959088268863603,0.01,0.520545233708318,74.2195945543541,0.03183276669434469,0.25962621356211457,1.4843918910870821,0.03183276669434469,0.25962621356211457,0.367767333984375,65536,89036,9000,14500,0
10,50,3,0.49248663379038043,0.01,0.5015332589379521,74.94845904290895,0.0020953292964025383,0.001701382284409192,1.498969180858179,0.0020953292964025383,0.001701382284409192,0.533111572265625,65536,122036,8000,48500,0
11,50,3,0.4432379704113424,0.01,0.49925353240453274,75.02270461695045,0.0007895559908379236,0.0003767352473005303,1.500454092339009,0.0007895559908379236,0.0003767352473005303,0.6200103759765625,65536,122036,10000,46500,0
12,50,3,0.49248663379038043,0.01,0.49288597292691055,75.24520533556702,0.008637190789403634,0.0394497680308632,1.5049041067113405,0.008637190789403634,0.0394497680308632,0.543609619140625,65536,101036,8000,27500,0
13,50,3,0.49248663379038043,0.01,0.4994391941750636,75.01738344316637,0.0007282953117850752,0.00022990045908954926,1.5003476688633273,0.0007282953117850752,0.00022990045908954926,0.52789306640625,65536,120036,8000,46500,0
14,50,3,0.49248663379038043,0.01,0.49917491730582697,75.02802339971778,0.0008668444130061357,0.0004428372030815808,1.5005604679943556,0.0008668444130061357,0.0004428372030815808,0.558990478515625,65536,120036,8000,46500,0
15,50,3,0.5363179441977243,0.01,0.5009652880216602,74.96743904160815,0.0010812178476869443,0.0006056757301848847,1.4993487808321628,0.0010812178476869443,0.0006056757301848847,0.459136962890625,65536,124036,9500,49000,0
16,50,3,0.49248663379038043,0.01,0.4982512067602078,75.05755889090614,0.0019298449273344284,0.002079531250274158,1.5011511778181228,0.0019298449273344284,0.002079531250274158,0.53570556640625,65536,115536,9000,41000,0
1,100,3,0.40701374693419873,0.01,0.5031510173824316,149.871466595031,0.008639032194599591,0.018295331017725402,1.4987146659503099,0.008639032194599591,0.018295331017725402,0.445709228515625,65536,110536,9000,36000,0
2,100,3,0.40701374693419873,0.01,0.5006171546864342,149.97450701917714,0.001424119821837741,0.0005926997582719196,1.4997450701917714,0.001424119821837741,0.0005926997582719196,0.4230194091796875,65536,124036,8500,50000,0
3,100,3,0.40701374693419873,0.01,0.49898283218636696,150.03907480670645,0.003127171549688166,0.0017059753336070571,1.5003907480670646,0.003127171549688166,0.0017059753336070571,0.425567626953125,65536,117536,8500,43500,0
4,100,3,0.49248663379038043,0.01,0.5010406999905896,149.9600156328488,0.0063638826100359406,0.0022059274597268086,1.499600156328488,0.0063638826100359406,0.0022059274597268086,0.2357025146484375,65536,118536,9500,43500,0
5,100,3,0.40701374693419873,0.01,0.49363957327596397,150.258869976284,0.015224425761381121,0.0641318822708854,1.50258869976284,0.015224425761381121,0.0641318822708854,0.434722900390625,65536,96036,8000,22500,0
6,100,3,0.4432379704113424,0.01,0.5015709654438724,149.9221453946322,0.0034222310171648724,0.0034600768995005637,1.499221453946322,0.0034222310171648724,0.0034600768995005637,0.3698577880859375,65536,125536,10000,50000,0
7,100,3,0.40701374693419873,0.01,0.5203609077977972,149.23964109389027,0.05573300302358529,0.7417081834282726,1.4923964109389027,0.05573300302358529,0.7417081834282726,0.382049560546875,65536,86036,7500,13000,0
8,100,3,0.33637499746627997,0.01,0.49857817479722455,150.04913954390187,0.00285824572530118,0.003498191847029375,1.5004913954390187,0.00285824572530118,0.003498191847029375,0.6104278564453125,65536,112536,7000,40000,0
9,100,3,0.40701374693419873,0.01,0.49901643340629753,150.04386849237162,0.00278285192055313,0.0016908925390453078,1.5004386849237161,0.00278285192055313,0.0016908925390453078,0.4384765625,65536,122536,8500,48500,0
10,100,3,0.40701374693419873,0.01,0.5006669194488595,149.97335371057585,0.0017313535634090626,0.0007491746400773991,1.4997335371057585,0.0017313535634090626,0.0007491746400773991,0.46148681640625,65536,124036,8500,50000,0
11,100,3,0.40701374693419873,0.01,0.4993053437018821,150.02862415590513,0.0016864370489509367,0.0008046708899200894,1.5002862415590514,0.0016864370489509367,0.0008046708899200894,0.4406585693359375,65536,121536,8000,48000,0
12,100,3,0.40701374693419873,0.01,0.5020641489266139,149.92670243699496,0.006520610953863511,0.007302673016965855,1.4992670243699495,0.006520610953863511,0.007302673016965855,0.4368133544921875,65536,116036,9000,41500,0
13,100,3,0.33637499746627997,0.01,0.5011553573102544,149.95774881322203,0.0023380126366896155,0.0023564855655422434,1.4995774881322204,0.0023380126366896155,0.0023564855655422434,0.5914306640625,65536,114036,7000,41500,0
14,100,3,0.3989141733702082,0.01,0.5017185107918283,149.9191978940543,0.003975804624555249,0.004879867003182881,1.499191978940543,0.003975804624555249,0.004879867003182881,0.4728240966796875,65536,118536,10000,43000,0
15,100,3,0.40701374693419873,0.01,0.504645410206839,149.80034204053712,0.011234202650510587,0.03256662257263088,1.4980034204053712,0.011234202650510587,0.03256662257263088,0.430450439453125,65536,108536,7500,35500,0
16,100,3,0.33637499746627997,0.01,0.49878583304320845,150.04595192407214,0.003207220297692711,0.0029605948548123706,1.5004595192407215,0.003207220297692711,0.0029605948548123706,0.5978240966796875,65536,117536,7000,45000,0
